Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\JA_08-C.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
28.38	631.5
28.4	609.25
28.42	602.75
28.44	597.75
28.46	581.75
28.48	557.5
28.5	581.75
28.52	578.5
28.54	566
28.56	587.5
28.58	553.5
28.6	556.25
28.62	556.25
28.64	567
28.66	569.75
28.68	538.75
28.7	538.5
28.72	554.25
28.74	577.25
28.76	544.25
28.78	558.25
28.8	559.25
28.82	583.25
28.84	545.25
28.86	559.75
28.88	579.5
28.9	552.5
28.92	581.25
28.94	583.75
28.96	589
28.98	582
29	591.75
29.02	591.25
29.04	609
29.06	628.75
29.08	644.75
29.1	687
29.12	703.25
29.14	724.5
29.16	777.75
29.18	847.75
29.2	923.75
29.22	1008.5
29.24	1107
29.26	1268.5
29.28	1518.25
29.3	1689.75
29.32	1991.5
29.34	2489.5
29.36	3032.75
29.38	3616.5
29.4	4418.75
29.42	5127.25
29.44	5596.75
29.46	5990.75
29.48	6125.5
29.5	6121.5
29.52	5727.75
29.54	5214.75
29.56	4486.25
29.58	3830.75
29.6	3150
29.62	2511.75
29.64	2068
29.66	1619.75
29.68	1344
29.7	1119.25
29.72	980.25
29.74	893.25
29.76	830
29.78	786
29.8	744.25
29.82	730.5
29.84	705.25
29.86	703.25
29.88	677
29.9	663.5
29.92	666
29.94	669.5
29.96	640.25
29.98	667.25
30	618.25
30.02	620.5
30.04	631
30.06	634.75
30.08	616.25
30.1	616.75
30.12	596
30.14	604.25
30.16	581.75
30.18	596.75
30.2	593.5
30.22	605.75
30.24	592.75
30.26	573.75
30.28	579
30.3	577.5
30.32	580
30.34	580.75
30.36	588.25
30.38	567
30.4	569.75
30.42	559.5
30.44	571
30.46	598
30.48	588.75
30.5	592.75
30.52	608.5
30.54	610
30.56	623.25
30.58	623.75
30.6	647.75
30.62	645.5
30.64	680.75
30.66	671.75
30.68	698
30.7	727
30.72	764.75
30.74	800.25
30.76	836.25
30.78	851.5
30.8	895.25
30.82	907.75
30.84	960
30.86	996.25
30.88	1029.25
30.9	1049.25
30.92	1056.25
30.94	1011
30.96	983.5
30.98	964
31	921.75
31.02	853.25
31.04	828
31.06	797.25
31.08	771.25
31.1	741.5
31.12	684.25
31.14	666.5
31.16	678.25
31.18	664.25
31.2	665.75
31.22	654.25
31.24	671
31.26	635.25
31.28	646
31.3	662.25
31.32	668.25
31.34	630.5
31.36	663.75
31.38	666.5
31.4	697.5
31.42	678.5
31.44	714.25
31.46	715.25
31.48	706.25
31.5	742.5
31.52	733.25
31.54	749.75
31.56	709.5
31.58	706.75
31.6	714
31.62	660.25
31.64	664
31.66	643.5
31.68	627.75
31.7	599.5
31.72	597.5
31.74	569.5
31.76	583.75
31.78	559.25
31.8	571.5
31.82	556
31.84	546
31.86	543
31.88	564.5
31.9	557.75
31.92	534.25
31.94	541.5
31.96	552.5
31.98	566.5
32	545.25
32.02	538
32.04	533.75
32.06	554.75
32.08	574.5
32.1	533.75
32.12	550.25
32.14	545.25
32.16	541.75
32.18	550.75
32.2	547.25
32.22	534.75
32.24	582.75
32.26	550.25
32.28	580.5
32.3	552.5
32.32	578.25
