Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\2M1-std2.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
27.8	1154.25
27.82	1240.5
27.84	1246.25
27.86	1332.25
27.88	1362.25
27.9	1461.75
27.92	1510.25
27.94	1559
27.96	1636.5
27.98	1637.75
28	1704.25
28.02	1674.75
28.04	1669.5
28.06	1654
28.08	1606.25
28.1	1531.5
28.12	1503
28.14	1416
28.16	1359.25
28.18	1300.25
28.2	1239.5
28.22	1178
28.24	1117.25
28.26	1129.75
28.28	1079.25
28.3	1064.25
28.32	1064
28.34	1017.5
28.36	1001.75
28.38	953.5
28.4	931.75
28.42	932
28.44	900.75
28.46	910
28.48	868
28.5	888
28.52	859
28.54	896
28.56	870.75
28.58	881
28.6	866.75
28.62	927.5
28.64	916.5
28.66	901.25
28.68	917
28.7	928.25
28.72	957.5
28.74	938.5
28.76	927.75
28.78	886.75
28.8	900.75
28.82	880.75
28.84	868.25
28.86	854.5
28.88	848.25
28.9	881.25
28.92	866.5
28.94	853
28.96	844
28.98	877.25
29	843.25
29.02	856
29.04	866
29.06	831
29.08	806.75
29.1	837.25
29.12	791.5
29.14	800.75
29.16	790
29.18	757.75
29.2	771.5
29.22	755.25
29.24	766.75
29.26	757.5
29.28	780
29.3	740.25
29.32	755
29.34	749.25
29.36	766.25
29.38	752
29.4	751.25
29.42	725
29.44	748
29.46	742.5
29.48	769
29.5	740.75
29.52	769.25
29.54	765.5
29.56	787
29.58	802
29.6	798.25
29.62	825.25
29.64	879.5
29.66	862.5
29.68	891
29.7	903.25
29.72	950.5
29.74	964.25
29.76	1026.25
29.78	1068.75
29.8	1070.5
29.82	1136
29.84	1203
29.86	1243.25
29.88	1271
29.9	1330.5
29.92	1411
29.94	1454.5
29.96	1511.5
29.98	1528.5
30	1551.25
30.02	1566.25
30.04	1583.25
30.06	1537.75
30.08	1500.25
30.1	1417.5
30.12	1411.25
30.14	1321
30.16	1247.25
30.18	1191
30.2	1141
30.22	1092.25
30.24	1037.5
30.26	991
30.28	949.75
30.3	903.25
30.32	878.5
30.34	838.25
30.36	830.75
30.38	805
30.4	800.75
30.42	794.25
30.44	779
30.46	756
30.48	734.75
30.5	724
30.52	726
30.54	730
30.56	726
30.58	715.5
30.6	708
30.62	708.75
30.64	700.5
30.66	735
30.68	723.75
30.7	699.5
30.72	712.5
30.74	712.75
30.76	710
30.78	733.75
30.8	729.5
30.82	722.5
30.84	737.5
30.86	743.75
30.88	732.5
30.9	757.75
30.92	744.75
30.94	784.75
30.96	792.25
30.98	808.5
31	828.25
31.02	836
31.04	836.75
31.06	894
31.08	922.75
31.1	965
31.12	963
31.14	1014.5
31.16	1044
31.18	1104.25
31.2	1152
31.22	1196
31.24	1251
31.26	1318.25
31.28	1341.5
31.3	1427.75
31.32	1444.5
31.34	1505.25
31.36	1507.5
31.38	1513.25
31.4	1570.25
31.42	1563.5
31.44	1552
31.46	1570.5
31.48	1510.5
31.5	1468
31.52	1462.75
31.54	1454.25
31.56	1448.75
31.58	1460
31.6	1472.25
31.62	1466
31.64	1459.5
31.66	1461
31.68	1456.5
31.7	1423
31.72	1420.5
31.74	1397
31.76	1347.75
31.78	1370.5
31.8	1355.75
31.82	1317.25
31.84	1333
31.86	1295.25
31.88	1255.75
31.9	1175
31.92	1157.75
31.94	1131.75
31.96	1110.5
31.98	1065.25
32	1033.5
32.02	1035
32.04	1043.25
32.06	1055.25
32.08	1062.5
32.1	1105.5
32.12	1116.25
32.14	1146.5
32.16	1109.5
32.18	1169.75
32.2	1156.25
32.22	1152.75
32.24	1137
32.26	1096.25
32.28	1077
32.3	1070.75
32.32	1014.5
32.34	979.75
32.36	935.5
32.38	907.75
32.4	843.75
32.42	852.5
32.44	821.25
32.46	804.75
32.48	804.25
32.5	759.5
32.52	748.5
32.54	752
32.56	728.25
32.58	732.25
32.6	745
32.62	708.75
32.64	688.25
32.66	689.5
32.68	700
32.7	693.75
32.72	716
32.74	705
32.76	665.5
32.78	667
32.8	691.75
32.82	704.25
32.84	704.25
32.86	712.25
32.88	719.75
32.9	699.25
32.92	706
32.94	747.5
32.96	705.5
32.98	717.25
33	720.5
33.02	755
33.04	701
33.06	708.75
33.08	693.5
33.1	683.75
33.12	694.25
33.14	677.25
33.16	688
33.18	656
33.2	679.25
33.22	672.25
33.24	662.75
33.26	641.75
33.28	689
33.3	654.75
33.32	665
33.34	646.25
33.36	627.75
33.38	639.75
33.4	646.5
33.42	641.75
33.44	628.25
33.46	646.75
33.48	636.25
33.5	637.5
33.52	650.25
33.54	647.75
33.56	625.5
33.58	638.5
33.6	625.25
33.62	624.75
33.64	671
33.66	676.25
33.68	655.25
33.7	665
33.72	677.75
33.74	653
33.76	680.5
33.78	678.75
33.8	672.25
33.82	660
33.84	674.75
33.86	664.75
33.88	686.75
33.9	684.5
33.92	711
33.94	703.75
33.96	728.5
33.98	702.75
34	717
34.02	710.25
34.04	741.75
34.06	737
34.08	726.25
34.1	736
34.12	744.25
34.14	742
34.16	769.25
34.18	734.5
34.2	768
34.22	735.25
34.24	713.5
34.26	746.75
34.28	713.25
34.3	730.5
34.32	748.25
34.34	733.5
34.36	739.5
34.38	763.5
34.4	781
34.42	787.75
34.44	788.25
34.46	828.5
34.48	872
34.5	897.25
34.52	927
34.54	989.75
34.56	1041.25
34.58	1047
34.6	1149.5
34.62	1189
34.64	1285.75
34.66	1382.5
34.68	1425
34.7	1519.25
34.72	1546
34.74	1597.75
34.76	1644.5
34.78	1693.75
34.8	1682.5
34.82	1727.5
34.84	1691
34.86	1736
34.88	1754.5
34.9	1776.5
34.92	1827.5
34.94	1851.25
34.96	1908.5
34.98	2039.5
35	2066.75
35.02	2250.25
35.04	2328.75
35.06	2424
35.08	2563.5
35.1	2657
35.12	2736.25
35.14	2754.25
35.16	2823.5
35.18	2818.25
35.2	2807.5
35.22	2666.25
35.24	2546
35.26	2448.5
35.28	2269.25
35.3	2091
35.32	1925
35.34	1805.25
35.36	1629
35.38	1501.75
35.4	1400.5
35.42	1286.5
35.44	1172.5
35.46	1114
35.48	1024
35.5	1005.25
35.52	967.75
35.54	917.25
35.56	874.75
35.58	864.5
35.6	883
35.62	863.25
35.64	842.75
35.66	839
35.68	801
35.7	801.25
35.72	808.5
35.74	821.5
35.76	791.25
35.78	795.5
35.8	795.5
35.82	791.5
35.84	784.25
35.86	814
35.88	817.75
35.9	839.5
35.92	828.75
35.94	818.5
35.96	832.5
35.98	823.5
36	856.75
36.02	830.25
36.04	832.75
36.06	840.5
36.08	846
36.1	855
36.12	837.5
36.14	868.25
36.16	833.25
36.18	866.75
36.2	866.5
36.22	843.5
36.24	836.75
36.26	853.75
36.28	859
36.3	822.5
36.32	858.25
36.34	860.5
36.36	835
36.38	860
36.4	872.75
36.42	870
36.44	910.25
36.46	929.25
36.48	948.25
36.5	978.75
36.52	1045
36.54	1021.25
36.56	1027.5
36.58	1082
36.6	1094
36.62	1136.25
36.64	1101
36.66	1086.25
36.68	1104.75
36.7	1067.25
36.72	1104.5
36.74	1067
36.76	1054.5
36.78	994.25
36.8	1024
36.82	1000.75
36.84	1020.75
36.86	984
36.88	993
36.9	967.5
36.92	955
36.94	935.25
36.96	934.5
36.98	933
37	921.5
37.02	877.75
37.04	885.75
37.06	849.75
37.08	844.75
37.1	805.25
37.12	774.25
37.14	792.5
37.16	778.25
37.18	754.5
37.2	774.75
37.22	789.5
37.24	776.75
37.26	779.5
37.28	750.5
37.3	761.25
37.32	759.75
37.34	761.25
37.36	759
37.38	774.25
37.4	812.5
37.42	804
37.44	801.5
37.46	822.5
37.48	851
37.5	866
37.52	840.75
37.54	871.5
37.56	902.5
37.58	914.75
37.6	919.25
37.62	932.75
37.64	980.5
37.66	987
37.68	998.25
37.7	1033.75
37.72	1064.25
37.74	1064.25
37.76	1106.25
37.78	1097.25
37.8	1113.5
37.82	1122
37.84	1149
37.86	1171.5
37.88	1177
37.9	1201.75
37.92	1210
37.94	1195.5
37.96	1192
37.98	1184
38	1161.25
38.02	1125.75
38.04	1123.5
38.06	1089.25
38.08	1069
38.1	1015.75
38.12	971.5
38.14	965.75
38.16	960.75
38.18	897.75
38.2	873.75
38.22	869
38.24	880.5
38.26	829.5
38.28	829.75
38.3	820.25
38.32	759
38.34	797.25
38.36	788.25
38.38	786.25
38.4	760
38.42	750.75
38.44	733.75
38.46	725.25
38.48	701.5
38.5	698
38.52	694.5
38.54	667.25
38.56	663.25
38.58	670.75
38.6	640
38.62	653.25
38.64	645
38.66	652
38.68	616.5
38.7	612.75
38.72	628
38.74	618
38.76	621.5
38.78	633.75
38.8	613.75
38.82	624.25
38.84	623.5
38.86	623.75
38.88	608.75
38.9	593.75
38.92	585
38.94	598.25
38.96	607.75
38.98	585.5
39	604.25
39.02	620.5
39.04	597
39.06	600.25
39.08	584.5
39.1	587.5
39.12	593.75
39.14	601.75
39.16	606
39.18	611.25
39.2	625.75
39.22	601.5
39.24	607.5
39.26	586.25
39.28	611.5
39.3	608.5
39.32	637.5
39.34	613.25
39.36	627.5
39.38	602.5
39.4	621.25
39.42	625
39.44	600
39.46	619
39.48	609
39.5	594.75
39.52	624.75
39.54	635.75
39.56	623
39.58	612.75
39.6	619.75
39.62	640
39.64	609.75
39.66	627.25
39.68	634.5
39.7	628
39.72	623.25
39.74	624.25
39.76	641.25
39.78	647
39.8	633.5
39.82	654.25
39.84	643.5
39.86	652.25
39.88	659.75
39.9	650.75
39.92	643.75
39.94	662
39.96	660.25
39.98	659.25
40	670.5
40.02	689.75
