Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\JA_08-M.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
27.36	1144.75
27.38	1162.5
27.4	1178
27.42	1193
27.44	1178.5
27.46	1172.25
27.48	1207.75
27.5	1192.5
27.52	1161.5
27.54	1202.75
27.56	1208.25
27.58	1236.5
27.6	1236.75
27.62	1252.75
27.64	1258.75
27.66	1244.25
27.68	1319.25
27.7	1342.25
27.72	1344
27.74	1362.5
27.76	1388.25
27.78	1379
27.8	1419
27.82	1446
27.84	1454.25
27.86	1412.5
27.88	1433.25
27.9	1422.25
27.92	1397.5
27.94	1385.75
27.96	1386
27.98	1340
28	1314.75
28.02	1302.25
28.04	1264.5
28.06	1266.5
28.08	1247.5
28.1	1208
28.12	1217.75
28.14	1218.25
28.16	1162.75
28.18	1185
28.2	1176
28.22	1176.5
28.24	1128.75
28.26	1169.75
28.28	1130.75
28.3	1121.75
28.32	1128.75
28.34	1102.75
28.36	1074.25
28.38	1113
28.4	1084.5
28.42	1097.5
28.44	1077.5
28.46	1080
28.48	1107.5
28.5	1088.5
28.52	1108.75
28.54	1072
28.56	1078.75
28.58	1059.75
28.6	1053.75
28.62	1056.25
28.64	1050.75
28.66	1051
28.68	1070.25
28.7	1057.25
28.72	1074
28.74	1069.75
28.76	1071.25
28.78	1095.75
28.8	1058.5
28.82	1073
28.84	1079.5
28.86	1077.25
28.88	1068.5
28.9	1085.75
28.92	1073.75
28.94	1099.5
28.96	1090.25
28.98	1115.25
29	1136.5
29.02	1115.75
29.04	1158
29.06	1168.75
29.08	1150.5
29.1	1192.5
29.12	1210.25
29.14	1246.5
29.16	1309.25
29.18	1368.75
29.2	1429
29.22	1543.5
29.24	1681.25
29.26	1812.75
29.28	2002.25
29.3	2165.75
29.32	2472
29.34	2773
29.36	2970.5
29.38	3228.75
29.4	3424.5
29.42	3510
29.44	3459.75
29.46	3412.25
29.48	3307.25
29.5	2995.5
29.52	2728
29.54	2476.75
29.56	2198.5
29.58	1993.5
29.6	1820.25
29.62	1656.75
29.64	1535
29.66	1463
29.68	1396
29.7	1351.75
29.72	1325.5
29.74	1298
29.76	1307.5
29.78	1287.75
29.8	1288.5
29.82	1262.75
29.84	1277.25
29.86	1269
29.88	1292.75
29.9	1244
29.92	1237.75
29.94	1198.75
29.96	1252
29.98	1156.5
30	1215.5
30.02	1168.5
30.04	1148.5
30.06	1163.75
30.08	1115.25
30.1	1106.75
30.12	1096.25
30.14	1096.75
30.16	1088
30.18	1053.25
30.2	1055
30.22	1074.5
30.24	1077.25
30.26	1015.75
30.28	1047
30.3	1034.25
30.32	1009
30.34	1010.75
30.36	1052.75
30.38	1055.5
30.4	1047.25
30.42	1036
30.44	1034
30.46	1026
30.48	1012.75
30.5	1029.5
30.52	1035.25
30.54	1058.75
30.56	1029.75
30.58	1019.75
30.6	1036.25
30.62	1055
30.64	1037.75
30.66	1069.5
30.68	1086.5
30.7	1114.5
30.72	1123.5
30.74	1113.25
30.76	1163.5
30.78	1181
30.8	1170.25
30.82	1162.75
30.84	1219.5
30.86	1228.5
30.88	1229.25
30.9	1203.25
30.92	1232.5
30.94	1238.75
30.96	1229.25
30.98	1218.75
31	1256.5
31.02	1235.75
31.04	1243.75
31.06	1225.25
31.08	1222.5
31.1	1272.25
31.12	1273.75
31.14	1284.5
31.16	1265.75
31.18	1288.25
31.2	1312
31.22	1296.25
31.24	1267
31.26	1323.75
31.28	1357.5
31.3	1329.25
31.32	1310
31.34	1278.5
31.36	1296
31.38	1290
31.4	1287.5
31.42	1326.5
31.44	1319.5
31.46	1326.25
31.48	1310.25
31.5	1290.75
31.52	1312.75
31.54	1270.25
31.56	1235.5
31.58	1246.75
31.6	1195.25
31.62	1229.5
31.64	1180.75
31.66	1131.5
31.68	1145.25
31.7	1111.75
31.72	1119.25
31.74	1096.5
31.76	1101
31.78	1109.5
31.8	1040
31.82	1090.25
31.84	1070
31.86	1090.75
31.88	1097.5
31.9	1097
31.92	1065.5
31.94	1089.5
31.96	1099.25
31.98	1120.75
32	1113.25
32.02	1118.5
32.04	1083
32.06	1087
32.08	1113
32.1	1077.5
32.12	1066.25
32.14	1079
32.16	1048.25
32.18	1058.25
32.2	1044.25
32.22	1051.5
32.24	1042.5
32.26	1039.75
32.28	1058.75
32.3	1076
32.32	1026.5
32.34	1029.5
32.36	1021
32.38	1030.25
32.4	1054.25
32.42	1056.5
32.44	1012
32.46	988.75
32.48	1006
32.5	994.75
32.52	981.5
32.54	979
32.56	965
32.58	957.25
32.6	981.75
32.62	960.25
32.64	961
32.66	989.75
32.68	940.75
32.7	955.75
32.72	961
32.74	964.5
32.76	1000.5
32.78	964.5
32.8	982
32.82	1041.25
32.84	1015
32.86	993.5
32.88	1013.5
32.9	1016.25
32.92	1004.25
32.94	1006.5
32.96	997.25
32.98	1015.25
33	998.75
33.02	989.25
33.04	980.5
33.06	1011.5
33.08	1005.75
33.1	987.5
33.12	968.5
33.14	989.25
33.16	990.25
33.18	956.5
33.2	970
33.22	967.25
33.24	959.5
33.26	974.25
33.28	963.25
33.3	969.5
33.32	943.5
33.34	991.25
33.36	968.25
33.38	970.75
33.4	977.5
33.42	962.75
33.44	973.25
33.46	993.25
33.48	975.25
33.5	973.25
33.52	1004
33.54	977.5
33.56	974.25
33.58	993.5
33.6	965
33.62	999.25
33.64	1019.25
33.66	993.5
33.68	997.5
33.7	982.25
33.72	998
33.74	1000.5
33.76	1036.75
33.78	1015.5
33.8	1027.25
33.82	1009.25
33.84	998.25
33.86	1011.25
33.88	1013.5
33.9	1012.25
33.92	1026.75
33.94	1028
33.96	985.75
33.98	1049
34	1017.5
34.02	981.75
34.04	948.75
34.06	1001
34.08	997.75
34.1	958.5
34.12	1009
34.14	996.75
34.16	993
34.18	991
34.2	983.75
34.22	993.25
34.24	1009.5
34.26	1008.25
34.28	1066.5
34.3	1070.75
34.32	1056.75
34.34	1107.5
34.36	1097.5
34.38	1128.5
34.4	1175
