Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
146,1134.00,0.001,-7.080,10.1634,3.2475,49.3380,1.2994,4.7991,3.8533,0.0000,4.0915,0.0000,16.3343,0.0000,0.0000,19.9958,0.2886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-163.134,-130.139,23.448,3.130,12.010,0.479696,0.190497,0.125999,0.076430,-0.004467,0.111241,0.020604
147,1133.00,0.001,-7.092,10.3911,3.2476,49.3572,1.3033,4.7809,3.8354,0.0000,4.1031,0.0000,16.3564,0.0000,0.0000,19.9744,0.2892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-166.774,-133.074,23.966,3.200,12.280,0.479015,0.191357,0.126344,0.076364,-0.004187,0.110458,0.020649
148,1132.00,0.001,-7.105,10.6129,3.2476,49.3765,1.3070,4.7628,3.8176,0.0000,4.1146,0.0000,16.3786,0.0000,0.0000,19.9530,0.2899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-170.318,-135.934,24.470,3.268,12.542,0.478336,0.192220,0.126690,0.076293,-0.003917,0.109686,0.020692
149,1131.00,0.001,-7.117,10.8291,3.2476,49.3959,1.3106,4.7449,3.7999,0.0000,4.1262,0.0000,16.4007,0.0000,0.0000,19.9315,0.2905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-173.770,-138.721,24.961,3.335,12.798,0.477657,0.193085,0.127036,0.076219,-0.003654,0.108923,0.020733
150,1130.00,0.001,-7.129,11.0397,3.2476,49.4153,1.3139,4.7270,3.7822,0.0000,4.1377,0.0000,16.4228,0.0000,0.0000,19.9100,0.2910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-177.133,-141.439,25.438,3.399,13.047,0.476979,0.193953,0.127383,0.076142,-0.003400,0.108170,0.020772
151,1130.00,0.001,-7.129,11.0397,3.2476,49.4153,1.3139,4.7270,3.7822,0.0000,4.1377,0.0000,16.4228,0.0000,0.0000,19.9100,0.2910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-177.133,-141.439,25.438,3.399,13.047,0.476979,0.193953,0.127383,0.076142,-0.003400,0.108170,0.020772
152,1129.00,0.001,-7.142,11.2651,3.2478,49.4006,1.3312,4.7307,3.7791,0.0000,4.1211,0.0000,16.4054,0.0000,0.0000,19.9390,0.2929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-180.734,-144.354,25.946,3.469,13.311,0.478204,0.192643,0.126875,0.076682,-0.002976,0.107665,0.020906
153,1128.00,0.001,-7.154,11.4779,3.2480,49.3923,1.3457,4.7304,3.7734,0.0000,4.1098,0.0000,16.3953,0.0000,0.0000,19.9585,0.2945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-184.131,-147.106,26.424,3.534,13.561,0.479071,0.191740,0.126531,0.077103,-0.002591,0.107125,0.021021
154,1127.00,0.001,-7.167,11.6826,3.2482,49.3842,1.3600,4.7302,3.7677,0.0000,4.0988,0.0000,16.3853,0.0000,0.0000,19.9778,0.2961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-187.396,-149.754,26.884,3.597,13.801,0.479925,0.190850,0.126196,0.077516,-0.002212,0.106591,0.021133
155,1126.00,0.001,-7.179,11.8794,3.2484,49.3762,1.3740,4.7299,3.7620,0.0000,4.0881,0.0000,16.3754,0.0000,0.0000,19.9968,0.2976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-190.536,-152.303,27.325,3.657,14.032,0.480768,0.189973,0.125868,0.077924,-0.001841,0.106065,0.021243
