Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
143,1137.00,0.001,-7.043,5.9213,4.3747,0.0000,9.0466,7.2725,49.8987,0.0000,20.9256,0.0000,12.8567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-56.911,-38.764,12.869,1.354,5.895,0.000000,-0.498299,0.628683,0.641807,0.227809
144,1136.00,0.001,-7.055,6.0053,4.3753,0.0000,9.1277,7.2130,49.8102,0.0000,20.9956,0.0000,12.8534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-57.691,-39.305,13.047,1.373,5.977,0.000000,-0.499431,0.627722,0.641800,0.229908
145,1135.00,0.001,-7.067,6.0864,4.3760,0.0000,9.2077,7.1548,49.7224,0.0000,21.0650,0.0000,12.8501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-58.442,-39.828,13.219,1.391,6.056,0.000000,-0.500534,0.626767,0.641787,0.231980
146,1134.00,0.001,-7.080,6.1647,4.3767,0.0000,9.2867,7.0977,49.6353,0.0000,21.1336,0.0000,12.8467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-59.167,-40.333,13.385,1.409,6.133,0.000000,-0.501609,0.625817,0.641768,0.234024
147,1133.00,0.001,-7.092,6.2403,4.3773,0.0000,9.3645,7.0417,49.5490,0.0000,21.2016,0.0000,12.8432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-59.866,-40.821,13.544,1.426,6.206,0.000000,-0.502655,0.624874,0.641741,0.236040
148,1132.00,0.001,-7.105,6.3134,4.3779,0.0000,9.4413,6.9869,49.4634,0.0000,21.2689,0.0000,12.8396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-60.540,-41.292,13.698,1.442,6.278,0.000000,-0.503674,0.623936,0.641709,0.238029
149,1131.00,0.001,-7.117,6.3840,4.3786,0.0000,9.5170,6.9331,49.3785,0.0000,21.3355,0.0000,12.8359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-61.190,-41.747,13.847,1.458,6.347,0.000000,-0.504666,0.623006,0.641669,0.239991
150,1130.00,0.001,-7.129,6.4522,4.3792,0.0000,9.5916,6.8804,49.2944,0.0000,21.4015,0.0000,12.8321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-61.817,-42.186,13.990,1.473,6.413,0.000000,-0.505631,0.622082,0.641622,0.241927
151,1130.00,0.001,-7.129,6.4522,4.3792,0.0000,9.5916,6.8804,49.2944,0.0000,21.4015,0.0000,12.8321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-61.817,-42.186,13.990,1.473,6.413,0.000000,-0.505631,0.622082,0.641622,0.241927
152,1129.00,0.001,-7.142,6.5475,4.3785,0.0000,9.6774,6.8445,49.1869,0.0000,21.4296,0.0000,12.8616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-62.746,-42.844,14.194,1.495,6.508,0.000000,-0.507762,0.620664,0.643031,0.244067
