Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
234,1072.00,0.001,-7.880,8.5441,4.3880,0.0000,12.3617,5.3392,45.9191,0.0000,23.2529,0.0000,13.1271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.003,-56.528,18.195,1.947,8.441,0.000000,-0.552602,0.581340,0.658469,0.312793
235,1071.00,0.001,-7.894,8.5521,4.3885,0.0000,12.3844,5.3219,45.8914,0.0000,23.2829,0.0000,13.1194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.046,-56.576,18.205,1.949,8.447,0.000000,-0.552625,0.581058,0.658161,0.313406
236,1070.00,0.001,-7.907,8.5596,4.3891,0.0000,12.4066,5.3048,45.8644,0.0000,23.3128,0.0000,13.1114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.086,-56.621,18.214,1.950,8.453,0.000000,-0.552630,0.580786,0.657840,0.314004
237,1070.00,0.001,-7.907,8.5596,4.3891,0.0000,12.4066,5.3048,45.8644,0.0000,23.3128,0.0000,13.1114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.086,-56.621,18.214,1.950,8.453,0.000000,-0.552630,0.580786,0.657840,0.314004
238,1069.00,0.001,-7.921,8.5668,4.3896,0.0000,12.4282,5.2879,45.8381,0.0000,23.3426,0.0000,13.1032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.121,-56.663,18.223,1.952,8.458,0.000000,-0.552619,0.580522,0.657507,0.314590
239,1068.00,0.001,-7.935,8.5735,4.3902,0.0000,12.4493,5.2713,45.8124,0.0000,23.3723,0.0000,13.0947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.153,-56.703,18.230,1.953,8.463,0.000000,-0.552591,0.580268,0.657162,0.315162
240,1067.00,0.001,-7.948,8.5800,4.3908,0.0000,12.4699,5.2548,45.7873,0.0000,23.4020,0.0000,13.0860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.180,-56.739,18.237,1.954,8.468,0.000000,-0.552548,0.580022,0.656805,0.315721
241,1066.00,0.001,-7.962,8.5860,4.3914,0.0000,12.4899,5.2386,45.7629,0.0000,23.4316,0.0000,13.0770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.204,-56.773,18.243,1.955,8.472,0.000000,-0.552489,0.579784,0.656437,0.316268
242,1065.00,0.001,-7.975,8.5917,4.3919,0.0000,12.5094,5.2225,45.7391,0.0000,23.4611,0.0000,13.0678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.224,-56.805,18.249,1.956,8.476,0.000000,-0.552415,0.579555,0.656057,0.316803
243,1064.00,0.001,-7.989,8.5849,4.3930,0.0000,12.5063,5.2080,45.7507,0.0000,23.4885,0.0000,13.0465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00
