Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
194,1108.00,0.001,-7.407,5.9961,3.2171,54.7111,0.4319,2.5028,1.7451,0.0000,7.6559,0.0000,31.5739,0.0000,0.0000,1.3487,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-97.856,-78.249,14.196,1.864,7.604,-0.258466,0.947337,0.224111,0.038968,-0.016232,0.062198,0.002085
195,1107.00,0.001,-7.420,6.1811,3.2172,54.7173,0.4332,2.4973,1.7390,0.0000,7.6562,0.0000,31.5804,0.0000,0.0000,1.3460,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-100.865,-80.676,14.628,1.921,7.838,-0.258403,0.947435,0.224111,0.038967,-0.016163,0.061966,0.002087
196,1106.00,0.001,-7.432,6.3777,3.2173,54.7233,0.4347,2.4919,1.7328,0.0000,7.6561,0.0000,31.5872,0.0000,0.0000,1.3432,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-104.061,-83.253,15.088,1.982,8.087,-0.258344,0.947538,0.224103,0.038975,-0.016089,0.061728,0.002089
197,1105.00,0.001,-7.445,6.5679,3.2173,54.7293,0.4362,2.4865,1.7267,0.0000,7.6562,0.0000,31.5938,0.0000,0.0000,1.3405,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-107.153,-85.749,15.531,2.041,8.327,-0.258290,0.947640,0.224100,0.038982,-0.016017,0.061495,0.002091
198,1105.00,0.001,-7.445,6.5679,3.2173,54.7293,0.4362,2.4865,1.7267,0.0000,7.6562,0.0000,31.5938,0.0000,0.0000,1.3405,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-107.153,-85.749,15.531,2.041,8.327,-0.258290,0.947640,0.224100,0.038982,-0.016017,0.061495,0.002091
199,1104.00,0.001,-7.458,6.7521,3.2174,54.7352,0.4377,2.4812,1.7206,0.0000,7.6565,0.0000,31.6002,0.0000,0.0000,1.3378,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-110.146,-88.165,15.961,2.099,8.560,-0.258242,0.947742,0.224102,0.038989,-0.015948,0.061264,0.002093
200,1103.00,0.001,-7.471,6.9304,3.2174,54.7410,0.4391,2.4759,1.7146,0.0000,7.6569,0.0000,31.6064,0.0000,0.0000,1.3351,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-113.043,-90.507,16.376,2.154,8.786,-0.258199,0.947843,0.224109,0.038995,-0.015880,0.061037,0.002095
201,1102.00,0.001,-7.484,7.1033,3.2175,54.7468,0.4405,2.4707,1.7087,0.0000,7.6576,0.0000,31.6125,0.0000,0.0000,1.3324,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-115.850,-92.777,16.778,2.208,9.004,-0.258162,0.947944,0.224121,0.039000,-0.015815,0.060814,0.002097
202,1101.00,0.001,-7.497,7.2709,3.2176,54.7524,0.4418,2.4656,1.7028,0.0000,7.6583,0.0000,31.6185,0.0000,0.0000,1.3297,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-118.569,-94.979,17.167,2.260,9.216,-0.258129,0.948045,0.224138,0.039006,-0.015751,0.060594,0.002098
203,1100.00,0.001,-7.510,7.4335,3.2176,54.7580,0.4431,2.4606,1.6969,0.0000,7.6592,0.0000,31.6242,0.0000,0.0000,1.3270,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-121.206,-97.116,17.544,2.310,9.421,-0.258102,0.948146,0.224158,0.039011,-0.015689,0.060377,0.002099
204,1100.00,0.001,-7.510,7.4335,3.2176,54.7580,0.4431,2.4606,1.6969,0.0000,7.6592,0.0000,31.6242,0.0000,0.0000,1.3270,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-121.206,-97.116,17.544,2.310,9.421,-0.258102,0.948146,0.224158,0.039011,-0.015689,0.060377,0.002099
205,1099.00,0.001,-7.523,7.5921,3.2177,54.7635,0.4444,2.4556,1.6911,0.0000,7.6602,0.0000,31.6299,0.0000,0.0000,1.3243,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-123.779,-99.202,17.911,2.359,9.622,-0.258080,0.948247,0.224183,0.039017,-0.015629,0.060163,0.002100
206,1098.00,0.001,-7.536,7.7462,3.2178,54.7690,0.4456,2.4507,1.6854,0.0000,7.6613,0.0000,31.6354,0.0000,0.0000,1.3216,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-126.277,-101.229,18.268,2.407,9.816,-0.258063,0.948347,0.224211,0.039023,-0.015571,0.059952,0.002101
207,1097.00,0.001,-7.549,7.8960,3.2179,54.7743,0.4468,2.4459,1.6797,0.0000,7.6626,0.0000,31.6408,0.0000,0.0000,1.3189,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-128.702,-103.199,18.613,2.454,10.005,-0.258051,0.948448,0.224243,0.039028,-0.015514,0.059744,0.002101
208,1096.00,0.001,-7.562,8.0414,3.2179,54.7796,0.4479,2.4411,1.6740,0.0000,7.6640,0.0000,31.6461,0.0000,0.0000,1.3163,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-131.058,-105.114,18.949,2.499,10.189,-0.258044,0.948549,0.224278,0.039034,-0.015459,0.059539,0.002102
209,1095.00,0.001,-7.575,8.1828,3.2180,54.7848,0.4491,2.4365,1.6684,0.0000,7.6655,0.0000,31.6512,0.0000,0.0000,1.3136,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-133.347,-106.977,19.274,2.543,10.367,-0.258041,0.948649,0.224317,0.039040,-0.015406,0.059338,0.002102
210,1094.00,0.001,-7.588,8.3204,3.2181,54.7899,0.4502,2.4319,1.6629,0.0000,7.6671,0.0000,31.6562,0.0000,0.0000,1.3109,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-135.572,-108.788,19.591,2.586,10.541,-0.258043,0.948750,0.224359,0.039047,-0.015355,0.059140,0.002102
211,1093.00,0.001,-7.601,8.4542,3.2182,54.7950,0.4513,2.4273,1.6573,0.0000,7.6688,0.0000,31.6611,0.0000,0.0000,1.3083,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-137.736,-110.552,19.898,2.627,10.710,-0.258050,0.948851,0.224405,0.039054,-0.015306,0.058944,0.002102
212,1092.00,0.001,-7.614,8.5845,3.2182,54.7999,0.4523,2.4229,1.6519,0.0000,7.6705,0.0000,31.6659,0.0000,0.0000,1.3056,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-139.841,-112.270,20.196,2.667,10.874,-0.258061,0.948952,0.224453,0.039061,-0.015258,0.058752,0.002102
213,1091.00,0.001,-7.627,8.7114,3.2183,54.8048,0.4533,2.4185,1.6465,0.0000,7.6724,0.0000,31.6705,0.0000,0.0000,1.3030,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-141.891,-113.944,20.487,2.707,11.034,-0.258077,0.949053,0.224504,0.039068,-0.015212,0.058562,0.002102
214,1090.00,0.001,-7.640,8.8351,3.2184,54.8096,0.4543,2.4142,1.6411,0.0000,7.6744,0.0000,31.6751,0.0000,0.0000,1.3003,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-143.887,-115.576,20.769,2.745,11.189,-0.258097,0.949154,0.224557,0.039076,-0.015167,0.058376,0.002101
215,1090.00,0.001,-7.640,8.8351,3.2184,54.8096,0.4543,2.4142,1.6411,0.0000,7.6744,0.0000,31.6751,0.0000,0.0000,1.3003,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-143.887,-115.576,20.769,2.745,11.189,-0.258097,0.949154,0.224557,0.039076,-0.015167,0.058376,0.002101
216,1089.00,0.001,-7.654,8.9556,3.2185,54.8144,0.4553,2.4100,1.6358,0.0000,7.6764,0.0000,31.6795,0.0000,0.0000,1.2976,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-145.832,-117.167,21.044,2.783,11.341,-0.258122,0.949256,0.224613,0.039085,-0.015124,0.058192,0.002101
217,1088.00,0.001,-7.667,9.0732,3.2186,54.8190,0.4563,2.4058,1.6305,0.0000,7.6786,0.0000,31.6839,0.0000,0.0000,1.2950,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-147.728,-118.719,21.312,2.819,11.489,-0.258150,0.949357,0.224672,0.039094,-0.015083,0.058011,0.002100
218,1087.00,0.001,-7.680,9.1879,3.2187,54.8236,0.4572,2.4017,1.6253,0.0000,7.6808,0.0000,31.6882,0.0000,0.0000,1.2923,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-149.577,-120.235,21.573,2.855,11.633,-0.258183,0.949459,0.224732,0.039103,-0.015043,0.057833,0.002099
219,1086.00,0.001,-7.693,9.2999,3.2188,54.8281,0.4582,2.3977,1.6201,0.0000,7.6830,0.0000,31.6924,0.0000,0.0000,1.2896,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-151.381,-121.715,21.827,2.889,11.774,-0.258220,0.949561,0.224795,0.039114,-0.015005,0.057657,0.002098
220,1085.00,0.001,-7.706,9.4093,3.2189,54.8325,0.4591,2.3938,1.6149,0.0000,7.6854,0.0000,31.6964,0.0000,0.0000,1.2869,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-153.142,-123.160,22.075,2.923,11.912,-0.258261,0.949664,0.224860,0.039125,-0.014968,0.057484,0.002097
221,1084.00,0.001,-7.720,9.5161,3.2190,54.8369,0.4600,2.3900,1.6098,0.0000,7.6877,0.0000,31.7005,0.0000,0.0000,1.2843,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-154.861,-124.574,22.317,2.956,12.046,-0.258305,0.949766,0.224926,0.039136,-0.014932,0.057314,0.002095
222,1083.00,0.001,-7.733,9.6205,3.2191,54.8411,0.4609,2.3862,1.6048,0.0000,7.6902,0.0000,31.7044,0.0000,0.0000,1.2816,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-156.540,-125.956,22.553,2.989,12.177,-0.258354,0.949869,0.224995,0.039149,-0.014898,0.057146,0.002094
223,1082.00,0.001,-7.746,9.7227,3.2192,54.8453,0.4618,2.3825,1.5998,0.0000,7.6927,0.0000,31.7082,0.0000,0.0000,1.2789,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-158.182,-127.307,22.783,3.020,12.305,-0.258406,0.949972,0.225065,0.039162,-0.014866,0.056980,0.002092
224,1081.00,0.001,-7.760,9.8226,3.2193,54.8495,0.4626,2.3789,1.5948,0.0000,7.6952,0.0000,31.7120,0.0000,0.0000,1.2762,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-159.786,-128.630,23.008,3.051,12.431,-0.258462,0.950076,0.225136,0.039176,-0.014834,0.056818,0.002091
225,1080.00,0.001,-7.773,9.9203,3.2194,54.8535,0.4635,2.3753,1.5898,0.0000,7.6978,0.0000,31.7157,0.0000,0.0000,1.2735,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-161.356,-129.926,23.227,3.081,12.553,-0.258521,0.950180,0.225209,0.039190,-0.014804,0.056657,0.002089
226,1080.00,0.001,-7.773,9.9203,3.2194,54.8535,0.4635,2.3753,1.5898,0.0000,7.6978,0.0000,31.7157,0.0000,0.0000,1.2735,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-161.356,-129.926,23.227,3.081,12.553,-0.258521,0.950180,0.225209,0.039190,-0.014804,0.056657,0.002089
227,1079.00,0.001,-7.786,10.0161,3.2195,54.8575,0.4643,2.3719,1.5850,0.0000,7.7005,0.0000,31.7194,0.0000,0.0000,1.2707,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-162.891,-131.194,23.442,3.111,12.674,-0.258584,0.950284,0.225284,0.039206,-0.014776,0.056499,0.002087
228,1078.00,0.001,-7.800,10.1098,3.2196,54.8614,0.4652,2.3685,1.5801,0.0000,7.7032,0.0000,31.7229,0.0000,0.0000,1.2680,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-164.394,-132.437,23.652,3.140,12.791,-0.258650,0.950389,0.225359,0.039222,-0.014748,0.056343,0.002085
229,1077.00,0.001,-7.813,10.2017,3.2197,54.8652,0.4660,2.3651,1.5753,0.0000,7.7059,0.0000,31.7264,0.0000,0.0000,1.2653,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-165.866,-133.656,23.857,3.169,12.906,-0.258720,0.950494,0.225436,0.039239,-0.014722,0.056190,0.002083
230,1076.00,0.001,-7.827,10.2917,3.2198,54.8690,0.4668,2.3619,1.5705,0.0000,7.7087,0.0000,31.7299,0.0000,0.0000,1.2626,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-167.308,-134.850,24.058,3.196,13.019,-0.258792,0.950599,0.225515,0.039257,-0.014697,0.056038,0.002080
231,1075.00,0.001,-7.840,10.3800,3.2199,54.8727,0.4676,2.3587,1.5658,0.0000,7.7115,0.0000,31.7333,0.0000,0.0000,1.2598,0.0306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-168.721,-136.022,24.254,3.224,13.130,-0.258868,0.950705,0.225594,0.039276,-0.014673,0.055889,0.002078
232,1074.00,0.001,-7.853,10.4666,3.2200,54.8764,0.4684,2.3556,1.5610,0.0000,7.7143,0.0000,31.7366,0.0000,0.0000,1.2571,0.0306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-170.106,-137.172,24.447,3.251,13.238,-0.258947,0.950811,0.225674,0.039296,-0.014651,0.055742,0.002075
233,1073.00,0.001,-7.867,10.5516,3.2201,54.8799,0.4692,2.3525,1.5564,0.0000,7.7172,0.0000,31.7399,0.0000,0.0000,1.2543,0.0306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-171.464,-138.301,24.635,3.277,13.344,-0.259030,0.950917,0.225755,0.039316,-0.014629,0.055597,0.002073
234,1072.00,0.001,-7.880,10.6350,3.2202,54.8835,0.4700,2.3495,1.5517,0.0000,7.7201,0.0000,31.7431,0.0000,0.0000,1.2516,0.0305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-172.796,-139.410,24.820,3.303,13.449,-0.259115,0.951024,0.225837,0.039338,-0.014609,0.055455,0.002070
235,1071.00,0.001,-7.894,10.7169,3.2203,54.8869,0.4708,2.3466,1.5471,0.0000,7.7230,0.0000,31.7463,0.0000,0.0000,1.2488,0.0305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-174.104,-140.499,25.001,3.328,13.551,-0.259202,0.951131,0.225920,0.039360,-0.014590,0.055314,0.002067
236,1070.00,0.001,-7.907,10.7973,3.2204,54.8903,0.4716,2.3438,1.5426,0.0000,7.7259,0.0000,31.7494,0.0000,0.0000,1.2460,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-175.388,-141.569,25.178,3.353,13.651,-0.259293,0.951238,0.226004,0.039383,-0.014571,0.055175,0.002065
237,1070.00,0.001,-7.907,10.7973,3.2204,54.8903,0.4716,2.3438,1.5426,0.0000,7.7259,0.0000,31.7494,0.0000,0.0000,1.2460,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-175.388,-141.569,25.178,3.353,13.651,-0.259293,0.951238,0.226004,0.039383,-0.014571,0.055175,0.002065
238,1069.00,0.001,-7.921,10.8764,3.2205,54.8936,0.4724,2.3410,1.5380,0.0000,7.7289,0.0000,31.7524,0.0000,0.0000,1.2432,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-176.648,-142.622,25.352,3.377,13.750,-0.259387,0.951346,0.226089,0.039407,-0.014554,0.055038,0.002062
239,1068.00,0.001,-7.935,10.9541,3.2206,54.8969,0.4732,2.3382,1.5335,0.0000,7.7319,0.0000,31.7555,0.0000,0.0000,1.2404,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-177.886,-143.656,25.523,3.401,13.847,-0.259483,0.951454,0.226174,0.039431,-0.014538,0.054903,0.002059
240,1067.00,0.
