Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
106,1170.00,0.001,-6.646,9.9276,2.6550,50.1818,0.0000,31.9076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6149,3.1423,0.1534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-172.138,-137.259,24.169,3.739,12.215,0.277605,0.713480,0.008915
107,1170.00,0.001,-6.646,9.9276,2.6550,50.1818,0.0000,31.9076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6149,3.1423,0.1534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-172.138,-137.259,24.169,3.739,12.215,0.277605,0.713480,0.008915
108,1169.00,0.001,-6.658,10.5396,2.6546,50.2403,0.0000,31.8677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.5683,3.1680,0.1557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-182.724,-145.726,25.654,3.970,12.967,0.279838,0.711113,0.009049
109,1168.00,0.001,-6.670,11.1432,2.6542,50.2982,0.0000,31.8282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.5222,3.1934,0.1580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-193.160,-154.078,27.119,4.198,13.709,0.282047,0.708770,0.009183
110,1167.00,0.001,-6.682,11.7382,2.6538,50.3555,0.0000,31.7890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4765,3.2186,0.1604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-203.445,-162.312,28.562,4.423,14.440,0.284231,0.706450,0.009318
111,1166.00,0.001,-6.694,12.3247,2.6534,50.4123,0.0000,31.7503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4313,3.2434,0.1627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-213.581,-170.431,29.983,4.645,15.160,0.286391,0.704155,0.009454
112,1165.00,0.001,-6.705,12.9028,2.6530,50.4684,0.0000,31.7119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.3865,3.2680,0.1651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-223.567,-178.432,31.384,4.863,15.870,0.288524,0.701885,0.009590
113,1164.00,0.001,-6.717,13.4724,2.6527,50.5239,0.0000,31.6740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.3423,3.2923,0.1675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-233.403,-186.318,32.763,5.079,16.570,0.290632,0.699641,0.009727
114,1163.00,0.001,-6.729,14.0335,2.6523,50.5788,0.0000,31.6365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.2986,3.3163,0.1699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-243.090,-194.087,34.121,5.291,17.258,0.292713,0.697423,0.009865
115,1162.00,0.001,-6.741,14.5863,2.6519,50.6330,0.0000,31.5994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.2553,3.3399,0.1723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-252.629,-201.740,35.459,5.500,17.939,0.294767,0.695230,0.010003
116,1161.00,0.001,-6.753,15.1405,2.6513,50.7215,0.0000,31.5392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.1850,3.3791,0.1752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-262.191,-209.411,36.803,5.711,18.619,0.298166,0.691662,0.010172
117,1160.00,0.001,-6.765,15.6910,2.6505,50.8184,0.0000,31.4732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.1080,3.4221,0.1783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-271.686,-217.028,38.138,5.920,19.295,0.301892,0.687757,0.010351
118,1160.00,0.001,-6.765,15.6910,2.6505,50.8184,0.0000,31.4732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.1080,3.4221,0.1783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-271.686,-217.028,38.138,5.920,19.295,0.301892,0.687757,0.010351
119,1159.00,0.001,-6.777,16.2353,2.6498,50.9145,0.0000,31.4078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0315,3.4647,0.1815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-281.071,-224.561,39.458,6.127,19.964,0.305582,0.683884,0.010534
