0:15D-TEMPS,1:15D-NNO,2:21A-TEMP,3:21A-NNO
0,0.00,778,0.29
0,0.00,778,0.29
0,0.00,771,0.24
0,0.00,788,0.37
0,0.00,769,0.24
0,0.00,772,0.26
0,0.00,770,0.23
0,0.00,771,0.25
0,0.00,784,0.35
0,0.00,777,0.29
0,0.00,777,0.29
0,0.00,771,0.24
0,0.00,788,0.36
0,0.00,783,0.35
0,0.00,776,0.30
0,0.00,776,0.30
0,0.00,770,0.24
0,0.00,787,0.37
0,0.00,779,0.33
0,0.00,768,0.24
0,0.00,771,0.27
0,0.00,768,0.24
0,0.00,760,0.16
0,0.00,770,0.26
0,0.00,778,0.30
0,0.00,775,0.29
0,0.00,785,0.35
0,0.00,778,0.29
0,0.00,778,0.29
0,0.00,772,0.24
0,0.00,789,0.37
0,0.00,773,0.26
0,0.00,772,0.25
0,0.00,779,0.37
0,0.00,773,0.32
0,0.00,773,0.32
0,0.00,767,0.26
0,0.00,783,0.39
0,0.00,784,0.35
0,0.00,777,0.30
0,0.00,778,0.30
0,0.00,771,0.24
0,0.00,788,0.37
0,0.00,780,0.37
0,0.00,773,0.31
0,0.00,773,0.31
0,0.00,767,0.25
0,0.00,784,0.38
0,0.00,779,0.38
0,0.00,772,0.32
0,0.00,772,0.32
0,0.00,766,0.26
0,0.00,783,0.39
0,0.00,779,0.37
0,0.00,773,0.31
0,0.00,773,0.31
0,0.00,767,0.25
0,0.00,783,0.38
0,0.00,783,0.36
0,0.00,777,0.30
0,0.00,777,0.30
0,0.00,771,0.25
0,0.00,787,0.38
0,0.00,769,0.25
0,0.00,771,0.27
0,0.00,769,0.24
0,0.00,771,0.27
0,0.00,784,0.35
0,0.00,778,0.29
0,0.00,778,0.30
0,0.00,771,0.24
0,0.00,788,0.37
0,0.00,779,0.37
0,0.00,772,0.31
0,0.00,773,0.31
0,0.00,766,0.25
0,0.00,783,0.38
0,0.00,783,0.36
0,0.00,777,0.30
0,0.00,777,0.30
0,0.00,771,0.25
0,0.00,787,0.38
0,0.00,784,0.35
0,0.00,778,0.30
0,0.00,778,0.30
0,0.00,772,0.24
0,0.00,789,0.37
0,0.00,773,0.27
0,0.00,772,0.26
0,0.00,784,0.35
0,0.00,778,0.30
0,0.00,778,0.30
0,0.00,772,0.24
0,0.00,789,0.37
0,0.00,781,0.33
0,0.00,770,0.24
0,0.00,773,0.27
0,0.00,770,0.24
0,0.00,772,0.26
0,0.00,776,0.29
0,0.00,778,0.37
0,0.00,772,0.31
0,0.00,772,0.31
0,0.00,766,0.26
0,0.00,782,0.38
0,0.00,788,0.35
0,0.00,781,0.29
0,0.00,781,0.29
0,0.00,775,0.23
0,0.00,792,0.36
0,0.00,773,0.24
0,0.00,776,0.26
0,0.00,773,0.23
0,0.00,775,0.25
0,0.00,787,0.34
0,0.00,780,0.29
0,0.00,780,0.29
0,0.00,774,0.23
0,0.00,791,0.36
0,0.00,775,0.26
0,0.00,774,0.25
0,0.00,781,0.36
0,0.00,775,0.31
0,0.00,775,0.31
0,0.00,769,0.25
0,0.00,785,0.38
0,0.00,767,0.25
0,0.00,769,0.28
0,0.00,767,0.25
0,0.00,769,0.27
0,0.00,785,0.35
0,0.00,785,0.35
0,0.00,778,0.29
0,0.00,778,0.29
0,0.00,778,0.30
0,0.00,778,0.29
0,0.00,772,0.24
0,0.00,772,0.24
0,0.00,789,0.37
0,0.00,789,0.37
0,0.00,783,0.36
0,0.00,777,0.30
0,0.00,777,0.30
0,0.00,771,0.24
0,0.00,787,0.37
0,0.00,772,0.27
0,0.00,771,0.26
0,0.00,785,0.35
0,0.00,778,0.29
0,0.00,778,0.29
0,0.00,772,0.24
0,0.00,789,0.36
0,0.00,773,0.26
0,0.00,772,0.25
0,0.00,785,0.35
0,0.00,778,0.29
0,0.00,778,0.29
0,0.00,772,0.24
0,0.00,789,0.36
0,0.00,782,0.36
0,0.00,776,0.30
0,0.00,776,0.30
0,0.00,770,0.24
0,0.00,786,0.37
0,0.00,779,0.33
0,0.00,768,0.24
0,0.00,771,0.27
0,0.00,768,0.24
0,0.00,760,0.16
0,0.00,770,0.26
0,0.00,778,0.30
0,0.00,774,0.29
0,0.00,786,0.35
0,0.00,780,0.29
0,0.00,780,0.29
0,0.00,774,0.24
0,0.00,790,0.36
0,0.00,785,0.35
0,0.00,778,0.29
0,0.00,779,0.29
0,0.00,772,0.24
0,0.00,789,0.36
0,0.00,781,0.33
0,0.00,770,0.24
0,0.00,773,0.26
0,0.00,770,0.23
0,0.00,762,0.16
0,0.00,772,0.25
0,0.00,780,0.30
0,0.00,777,0.29
0,0.00,777,0.38
0,0.00,771,0.32
0,0.00,771,0.32
0,0.00,765,0.26
0,0.00,781,0.39
0,0.00,765,0.29
0,0.00,765,0.28
