0: 15D-TMTE-TiO2,1:15D-ILM-TiO2,2:15D-Temps,3:15D-NNO,4:21A-TMTE-TiO2,5:21A-ILM-TiO2,6:21A-temps,7:21A-NNO,8:19i-TMTE-TiO2,9:19i-ILM_bottom-TiO2,10:19i-ILM_top-TiO2,11:19i-temps_bottom,12:19i-NNO_bottom,13:19i-temps_top,14:19i-NNO_top,15:3D-TMTE-TiO2,16:3D-ILM-TiO2,17:3D-temps,18:3D-NNO,19:21F-TMTE-TiO2,20:21F-ILM-TiO2,21:21F-temps,22:21F-NNO,23:19G-TMTE,24:19G-ILM,25:19G-Temps,26:19G-NNO,27:19H-TMTE31,28:19H-TMTE32,29:19H-ILM,230:19H-31-temps,31:19H-31-NNO,32:19H-32-temps,33:19H-32-NNO,34:15D-TMTE-TiO2,35:15D-ILM-TiO2
0.00,0.00,0,0.00,0.00,0.00,787.0370354,0.3765576,0.00,0.00,0.00,811.4411347,0.643534742,807.7434731,0.612102737,0.00,0.00,789.5716136,0.462345994,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,7.7,0.00
0.00,0.00,0,0.00,0.00,0.00,785.296991,0.387223151,0.00,0.00,0.00,799.3598278,0.672238822,795.7472829,0.640959502,0.00,0.00,794.1275351,0.452054729,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.36,0.00
0.00,0.00,0,0.00,0.00,0.00,789.8717776,0.372051454,0.00,0.00,0.00,799.2721552,0.679992158,795.6644916,0.64869475,0.00,0.00,788.1608272,0.471764099,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.36,0.00
0.00,0.00,0,0.00,0.00,0.00,790.8797398,0.367028464,0.00,0.00,0.00,805.5018369,0.654833822,801.8452809,0.623478139,0.00,0.00,787.6805921,0.473370013,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.51,0.00
0.00,0.00,0,0.00,0.00,0.00,790.480327,0.376489382,0.00,0.00,0.00,797.3430995,0.685995724,793.748077,0.654726883,0.00,0.00,791.2092756,0.467494968,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.59,0.00
0.00,0.00,0,0.00,0.00,0.00,789.4103237,0.376134151,0.00,0.00,0.00,798.5136237,0.678884373,794.9110407,0.647599838,0.00,0.00,790.7438169,0.459268889,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.3,0.00
0.00,0.00,0,0.00,0.00,0.00,786.2682205,0.382293469,0.00,0.00,0.00,805.631895,0.651704494,801.9744946,0.620348689,0.00,0.00,791.0163476,0.462832666,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.55,0.00
0.00,0.00,0,0.00,0.00,0.00,785.0760748,0.382831828,0.00,0.00,0.00,801.370895,0.671085857,797.7471711,0.639768217,0.00,0.00,787.6720439,0.4718602,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.55,0.00
0.00,0.00,0,0.00,0.00,0.00,790.9518003,0.359129193,0.00,0.00,0.00,797.0737962,0.680278217,793.479756,0.64901917,0.00,0.00,789.0249855,0.463946811,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.24,0.00
0.00,0.00,0,0.00,0.00,0.00,788.479266,0.372401721,0.00,0.00,0.00,820.5510956,0.605564171,816.7830166,0.574053568,0.00,0.00,784.0418099,0.484278958,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.48,0.00
0.00,0.00,0,0.00,0.00,0.00,791.7754403,0.363612979,0.00,0.00,0.00,798.0468009,0.684194011,794.445963,0.652919664,0.00,0.00,790.3943965,0.462965949,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.43,0.00
